mem_no,ord_no,ord_dt
800,10000,08/01/2024
800,10001,11/02/2024
800,10002,11/03/2024
800,10003,06/03/2024
929,10004,26/02/2024
929,10005,22/03/2024
929,10006,26/02/2024
929,10007,12/03/2024
929,10008,02/01/2024
929,10009,21/02/2024
929,10010,22/03/2024
929,10011,18/02/2024
929,10012,27/03/2024
376,10013,25/01/2024
376,10014,20/01/2024
169,10015,29/03/2024
169,10016,25/03/2024
169,10017,10/03/2024
169,10018,12/01/2024
169,10019,21/03/2024
169,10020,21/03/2024
169,10021,12/03/2024
169,10022,21/03/2024
412,10023,25/01/2024
412,10024,15/03/2024
412,10025,05/03/2024
412,10026,01/03/2024
412,10027,26/01/2024
412,10028,29/01/2024
179,10029,14/02/2024
179,10030,07/02/2024
179,10031,28/02/2024
179,10032,09/02/2024
179,10033,10/02/2024
179,10034,11/02/2024
179,10035,12/02/2024
179,10036,08/02/2024
179,10037,29/01/2024
250,10038,22/01/2024
814,10039,17/01/2024
814,10040,03/01/2024
814,10041,29/01/2024
814,10042,28/02/2024
814,10043,24/01/2024
814,10044,07/02/2024
814,10045,25/01/2024
236,10046,21/01/2024
236,10047,25/01/2024
445,10048,16/02/2024
445,10049,28/01/2024
48,10050,08/03/2024
48,10051,13/01/2024
48,10052,06/03/2024
48,10053,27/03/2024
48,10054,26/02/2024
48,10055,09/03/2024
55,10056,09/01/2024
680,10057,11/03/2024
680,10058,06/01/2024
680,10059,06/01/2024
680,10060,27/01/2024
680,10061,20/02/2024
680,10062,15/02/2024
680,10063,25/01/2024
680,10064,11/02/2024
680,10065,13/02/2024
680,10066,13/01/2024
680,10067,26/02/2024
680,10068,10/01/2024
680,10069,06/01/2024
111,10070,04/03/2024
111,10071,17/01/2024
111,10072,28/01/2024
111,10073,19/01/2024
407,10074,24/01/2024
407,10075,19/03/2024
407,10076,24/01/2024
535,10077,17/02/2024
535,10078,03/02/2024
535,10079,26/02/2024
535,10080,17/01/2024
275,10081,24/01/2024
275,10082,26/01/2024
275,10083,04/02/2024
275,10084,26/01/2024
275,10085,13/02/2024
275,10086,03/03/2024
275,10087,29/01/2024
890,10088,16/01/2024
890,10089,25/01/2024
874,10090,29/01/2024
738,10091,02/01/2024
738,10092,16/03/2024
738,10093,01/02/2024
738,10094,16/01/2024
738,10095,10/02/2024
166,10096,18/01/2024
166,10097,23/02/2024
166,10098,10/02/2024
858,10099,28/01/2024
910,10100,19/03/2024
910,10101,31/03/2024
910,10102,16/01/2024
910,10103,16/03/2024
910,10104,31/03/2024
910,10105,16/03/2024
287,10106,10/01/2024
264,10107,10/02/2024
264,10108,07/01/2024
264,10109,01/01/2024
264,10110,08/02/2024
264,10111,26/01/2024
264,10112,13/01/2024
701,10113,13/02/2024
701,10114,30/01/2024
701,10115,28/01/2024
367,10116,31/01/2024
367,10117,31/03/2024
367,10118,07/02/2024
367,10119,08/03/2024
367,10120,11/03/2024
367,10121,02/03/2024
367,10122,26/02/2024
29,10123,08/01/2024
29,10124,07/01/2024
29,10125,08/01/2024
29,10126,08/01/2024
29,10127,08/01/2024
498,10128,21/01/2024
217,10129,15/01/2024
217,10130,07/01/2024
217,10131,27/01/2024
394,10132,06/01/2024
798,10133,16/01/2024
801,10134,27/02/2024
801,10135,04/02/2024
801,10136,16/01/2024
801,10137,30/03/2024
801,10138,05/03/2024
801,10139,03/03/2024
801,10140,09/03/2024
801,10141,15/01/2024
791,10142,11/01/2024
791,10143,04/01/2024
791,10144,11/01/2024
791,10145,12/01/2024
293,10146,09/02/2024
293,10147,30/01/2024
293,10148,17/02/2024
293,10149,28/02/2024
293,10150,15/02/2024
293,10151,26/01/2024
293,10152,13/03/2024
293,10153,18/01/2024
293,10154,25/02/2024
91,10155,01/01/2024
91,10156,03/03/2024
91,10157,01/01/2024
581,10158,24/03/2024
581,10159,06/01/2024
581,10160,23/01/2024
581,10161,03/02/2024
945,10162,03/01/2024
945,10163,04/01/2024
749,10164,13/01/2024
637,10165,16/01/2024
637,10166,25/01/2024
637,10167,15/01/2024
637,10168,22/01/2024
637,10169,26/01/2024
637,10170,07/01/2024
637,10171,23/01/2024
889,10172,23/01/2024
889,10173,26/02/2024
911,10174,11/01/2024
911,10175,11/01/2024
911,10176,08/02/2024
911,10177,22/01/2024
911,10178,12/01/2024
911,10179,17/01/2024
911,10180,02/03/2024
911,10181,18/01/2024
911,10182,02/03/2024
911,10183,14/02/2024
911,10184,11/01/2024
911,10185,26/02/2024
911,10186,18/02/2024
911,10187,04/02/2024
911,10188,26/02/2024
911,10189,14/03/2024
911,10190,18/01/2024
911,10191,18/01/2024
911,10192,12/01/2024
911,10193,28/02/2024
911,10194,20/01/2024
357,10195,04/01/2024
677,10196,07/02/2024
677,10197,27/02/2024
677,10198,30/01/2024
677,10199,07/02/2024
677,10200,07/02/2024
318,10201,19/03/2024
318,10202,10/03/2024
318,10203,20/02/2024
318,10204,26/03/2024
318,10205,04/01/2024
318,10206,01/03/2024
318,10207,03/03/2024
318,10208,05/03/2024
318,10209,21/02/2024
318,10210,12/03/2024
318,10211,07/01/2024
318,10212,14/03/2024
318,10213,30/03/2024
318,10214,09/03/2024
576,10215,02/02/2024
576,10216,12/01/2024
576,10217,01/02/2024
576,10218,08/01/2024
576,10219,27/01/2024
576,10220,25/01/2024
576,10221,01/03/2024
643,10222,30/01/2024
643,10223,08/02/2024
643,10224,16/01/2024
643,10225,04/02/2024
643,10226,19/02/2024
643,10227,10/02/2024
643,10228,15/01/2024
643,10229,14/02/2024
643,10230,14/02/2024
643,10231,12/02/2024
643,10232,07/02/2024
643,10233,01/02/2024
643,10234,23/01/2024
643,10235,22/02/2024
643,10236,17/03/2024
643,10237,20/02/2024
643,10238,16/02/2024
643,10239,26/03/2024
496,10240,18/01/2024
149,10241,19/03/2024
149,10242,30/01/2024
149,10243,23/01/2024
149,10244,11/03/2024
149,10245,04/03/2024
149,10246,21/02/2024
149,10247,14/02/2024
202,10248,29/01/2024
202,10249,03/02/2024
202,10250,19/01/2024
202,10251,30/01/2024
202,10252,04/02/2024
202,10253,04/02/2024
202,10254,17/01/2024
202,10255,29/03/2024
202,10256,16/03/2024
202,10257,01/02/2024
647,10258,10/01/2024
647,10259,03/03/2024
647,10260,04/01/2024
43,10261,26/01/2024
635,10262,11/02/2024
635,10263,16/03/2024
635,10264,16/03/2024
635,10265,25/01/2024
635,10266,12/03/2024
635,10267,18/02/2024
635,10268,07/02/2024
635,10269,19/02/2024
635,10270,28/01/2024
880,10271,17/03/2024
880,10272,30/03/2024
880,10273,27/03/2024
880,10274,31/01/2024
880,10275,26/01/2024
880,10276,22/03/2024
880,10277,01/03/2024
880,10278,26/03/2024
880,10279,29/01/2024
880,10280,13/03/2024
880,10281,15/03/2024
880,10282,19/03/2024
880,10283,21/02/2024
880,10284,20/03/2024
457,10285,15/01/2024
840,10286,02/03/2024
840,10287,30/01/2024
840,10288,14/01/2024
840,10289,18/03/2024
927,10290,13/03/2024
927,10291,25/03/2024
927,10292,19/02/2024
927,10293,19/03/2024
927,10294,08/02/2024
927,10295,15/01/2024
927,10296,26/03/2024
927,10297,28/02/2024
927,10298,05/03/2024
927,10299,10/02/2024
927,10300,25/01/2024
927,10301,15/02/2024
927,10302,16/03/2024
673,10303,05/02/2024
673,10304,26/01/2024
673,10305,28/01/2024
673,10306,09/02/2024
673,10307,20/02/2024
673,10308,27/01/2024
673,10309,30/01/2024
673,10310,17/02/2024
673,10311,25/01/2024
673,10312,17/02/2024
673,10313,07/02/2024
673,10314,31/01/2024
673,10315,21/02/2024
765,10316,03/02/2024
765,10317,04/03/2024
765,10318,21/01/2024
765,10319,03/02/2024
765,10320,03/02/2024
622,10321,20/01/2024
622,10322,24/02/2024
977,10323,04/03/2024
977,10324,14/01/2024
984,10325,16/01/2024
984,10326,14/03/2024
984,10327,21/03/2024
984,10328,26/02/2024
984,10329,15/01/2024
984,10330,25/01/2024
984,10331,06/01/2024
818,10332,11/02/2024
818,10333,12/03/2024
818,10334,11/03/2024
818,10335,18/02/2024
818,10336,22/01/2024
818,10337,24/03/2024
818,10338,25/02/2024
818,10339,22/03/2024
818,10340,29/01/2024
818,10341,13/01/2024
548,10342,26/01/2024
548,10343,04/03/2024
548,10344,29/03/2024
548,10345,31/03/2024
548,10346,02/01/2024
729,10347,13/02/2024
729,10348,11/01/2024
729,10349,04/01/2024
729,10350,10/02/2024
729,10351,27/01/2024
916,10352,21/03/2024
916,10353,16/02/2024
916,10354,30/01/2024
916,10355,14/03/2024
916,10356,16/01/2024
916,10357,26/02/2024
916,10358,29/03/2024
916,10359,23/01/2024
916,10360,01/01/2024
485,10361,13/02/2024
485,10362,18/01/2024
485,10363,31/03/2024
485,10364,15/02/2024
485,10365,19/01/2024
485,10366,27/02/2024
77,10367,28/01/2024
77,10368,28/01/2024
796,10369,18/02/2024
796,10370,17/02/2024
796,10371,06/01/2024
796,10372,19/01/2024
583,10373,17/01/2024
583,10374,19/03/2024
583,10375,28/02/2024
583,10376,25/03/2024
583,10377,18/03/2024
583,10378,26/03/2024
583,10379,21/02/2024
583,10380,06/03/2024
583,10381,04/03/2024
918,10382,15/01/2024
918,10383,25/01/2024
918,10384,19/03/2024
821,10385,14/03/2024
821,10386,11/03/2024
821,10387,25/02/2024
821,10388,30/01/2024
821,10389,04/03/2024
821,10390,02/03/2024
821,10391,24/03/2024
821,10392,05/03/2024
821,10393,22/03/2024
54,10394,21/01/2024
54,10395,09/02/2024
54,10396,23/01/2024
54,10397,24/01/2024
943,10398,21/01/2024
943,10399,06/01/2024
943,10400,11/01/2024
897,10401,08/01/2024
897,10402,19/02/2024
398,10403,18/03/2024
398,10404,16/03/2024
398,10405,28/01/2024
398,10406,28/01/2024
895,10407,25/01/2024
895,10408,22/03/2024
895,10409,10/01/2024
895,10410,24/02/2024
895,10411,05/03/2024
735,10412,08/01/2024
735,10413,08/02/2024
563,10414,17/03/2024
563,10415,17/01/2024
948,10416,31/03/2024
948,10417,14/01/2024
886,10418,02/01/2024
273,10419,21/01/2024
546,10420,17/01/2024
822,10421,03/01/2024
822,10422,24/03/2024
822,10423,08/01/2024
822,10424,11/02/2024
102,10425,29/01/2024
102,10426,04/02/2024
763,10427,30/01/2024
763,10428,12/02/2024
763,10429,04/02/2024
763,10430,01/03/2024
763,10431,01/02/2024
763,10432,03/02/2024
763,10433,13/02/2024
763,10434,30/03/2024
763,10435,01/03/2024
763,10436,18/01/2024
763,10437,11/02/2024
763,10438,30/01/2024
763,10439,07/01/2024
763,10440,21/03/2024
763,10441,02/03/2024
763,10442,31/01/2024
763,10443,02/03/2024
763,10444,06/02/2024
763,10445,20/03/2024
763,10446,01/02/2024
763,10447,05/01/2024
763,10448,13/01/2024
763,10449,15/01/2024
763,10450,14/02/2024
763,10451,29/03/2024
763,10452,12/01/2024
763,10453,06/03/2024
763,10454,22/01/2024
763,10455,27/02/2024
763,10456,27/01/2024
763,10457,08/02/2024
763,10458,15/02/2024
763,10459,28/02/2024
763,10460,26/01/2024
763,10461,13/02/2024
763,10462,08/01/2024
763,10463,10/02/2024
763,10464,25/02/2024
763,10465,26/01/2024
763,10466,12/02/2024
763,10467,04/01/2024
763,10468,28/01/2024
120,10469,17/02/2024
120,10470,07/01/2024
120,10471,24/01/2024
120,10472,11/01/2024
120,10473,06/03/2024
959,10474,29/03/2024
959,10475,18/03/2024
959,10476,31/03/2024
959,10477,26/03/2024
959,10478,19/01/2024
959,10479,10/03/2024
959,10480,08/02/2024
959,10481,07/03/2024
959,10482,03/01/2024
959,10483,02/02/2024
842,10484,25/01/2024
926,10485,04/02/2024
926,10486,16/02/2024
926,10487,18/01/2024
42,10488,28/01/2024
42,10489,28/01/2024
935,10490,24/01/2024
935,10491,06/02/2024
240,10492,13/01/2024
15,10493,08/01/2024
302,10494,25/01/2024
799,10495,04/02/2024
799,10496,23/03/2024
799,10497,07/03/2024
799,10498,18/01/2024
799,10499,22/03/2024
799,10500,18/02/2024
799,10501,24/02/2024
799,10502,05/03/2024
562,10503,27/02/2024
562,10504,24/01/2024
562,10505,01/02/2024
562,10506,14/02/2024
562,10507,13/02/2024
562,10508,19/02/2024
562,10509,14/03/2024
203,10510,01/01/2024
908,10511,13/01/2024
908,10512,25/02/2024
802,10513,11/01/2024
802,10514,09/02/2024
258,10515,02/01/2024
554,10516,14/01/2024
554,10517,26/03/2024
554,10518,19/03/2024
554,10519,06/01/2024
554,10520,15/01/2024
554,10521,05/02/2024
554,10522,21/01/2024
554,10523,04/02/2024
80,10524,15/02/2024
80,10525,15/02/2024
80,10526,27/01/2024
80,10527,01/03/2024
80,10528,15/02/2024
368,10529,10/01/2024
848,10530,20/01/2024
848,10531,22/02/2024
871,10532,13/01/2024
871,10533,13/01/2024
954,10534,29/01/2024
954,10535,29/03/2024
954,10536,15/01/2024
954,10537,03/02/2024
478,10538,13/01/2024
838,10539,30/03/2024
838,10540,25/01/2024
838,10541,14/01/2024
838,10542,25/03/2024
595,10543,15/01/2024
595,10544,04/03/2024
595,10545,30/01/2024
486,10546,28/01/2024
220,10547,08/01/2024
220,10548,15/01/2024
186,10549,13/01/2024
186,10550,27/01/2024
186,10551,04/01/2024
186,10552,20/01/2024
995,10553,23/02/2024
995,10554,20/01/2024
995,10555,08/01/2024
197,10556,04/03/2024
197,10557,13/01/2024
197,10558,24/01/2024
274,10559,01/03/2024
274,10560,12/03/2024
274,10561,08/01/2024
274,10562,14/01/2024
274,10563,31/03/2024
274,10564,14/02/2024
274,10565,22/03/2024
709,10566,04/01/2024
24,10567,12/01/2024
24,10568,12/01/2024
176,10569,12/03/2024
176,10570,09/01/2024
176,10571,09/02/2024
176,10572,05/01/2024
305,10573,08/02/2024
305,10574,05/01/2024
756,10575,12/03/2024
756,10576,18/02/2024
756,10577,09/03/2024
756,10578,22/01/2024
756,10579,26/03/2024
756,10580,22/03/2024
756,10581,26/03/2024
756,10582,21/03/2024
477,10583,06/01/2024
477,10584,06/01/2024
339,10585,29/01/2024
758,10586,13/01/2024
265,10587,07/02/2024
265,10588,30/01/2024
265,10589,27/01/2024
941,10590,06/01/2024
941,10591,26/02/2024
962,10592,27/02/2024
962,10593,25/01/2024
464,10594,01/01/2024
